Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1300
2acd52d4-a0c5-45da-be77-0fe34bb3dd84,,,Emergency,Emergency,Emergency,Urgent,,,Misc,N/A,,,,,,,,,,,
617fbfdc-31b5-414c-8964-8cb148cab662,,,Queue,Queue,Queue,File d'attente,,,Misc,N/A,,,,,,,,,,,
63cf8bf7-7316-4b35-9bb6-2ef11384ca07,,,Priority,Priority,Priority,Prioritaire,,,Misc,N/A,,,,,,,,,,,
bbb02557-0277-4979-a1fa-b0020f136066,,CIEL:159637,Triage Level,Degré d'urgence,Triage level,Degré d'urgence,,,Question,Coded,,Emergency;Priority;Queue,,,,,,,,,
481db8b9-629a-4b19-a111-ba9333bed0e8,,,Red,Rouge,Red,Rouge,,,Misc,N/A,,,,,,,,,,,
f9fc5cf6-b50c-4156-a07e-73d117b87002,,,Green,Vert,Green,Vert,,,Misc,N/A,,,,,,,,,,,
769682a9-6978-4789-8689-a628536e4133,,,Yellow,Jaune,Yellow,Jaune,,,Misc,N/A,,,,,,,,,,,
749e328e-8170-4350-a1c7-ce4cb6dd8b20,,,Blue,Bleu,Blue,Bleu,,,Misc,N/A,,,,,,,,,,,
a2fa8ca7-dab5-4e10-a22c-d6a6758159af,,,Black,Noir,Black,Noir,,,Misc,N/A,,,,,,,,,,,
fb06cb11-b3c7-4124-af9e-9f3c6b8ebcc6,,,Level of urgency,Niveau d’urgence,,,,,Question,Coded,,Red;Green;Yellow;Blue;Black,,,,,,,,,
144b5c46-f11e-4529-a92a-36c50f5e6f3c,,,Conscious,Conscient,Conscious,Conscient,,,Misc,N/A,,,,,,,,,,,
670f2b23-a70c-4f01-b7a1-eb1a9b80bd93,,,Unconscious,Inconscient,Unconscious,Inconscient,,,Misc,N/A,,,,,,,,,,,
a9bc8e3b-6e09-4ea1-a340-2a36cd02785b,,,Lethargic,Léthargique,Lethargic,Léthargique,,,Misc,N/A,,,,,,,,,,,
d437840e-166e-4d25-865e-e6ab7b18237c,,,Obsessed,Obnubilé,Obsessed,Obnubilé,,,Misc,N/A,,,,,,,,,,,
bd50cb70-106d-413b-ad27-5a011835cbe4,,,Neurology & State of Consciousness,Neurologie & État de Conscience,Neurology & State of Consciousness,Neurologie & État de Conscience,,,Question,Coded,,Conscious;Unconscious;Lethargic;Obsessed;Aphasia,,,,,,,,,
d3042bc4-911f-4a22-8e85-f5858858b6a7,,,Eye Opening Response,Reponse Yeux,Eye Opening Response,Reponse Yeux,,,Misc,Numeric,,,,,,,,,,,
baba227f-2425-4e2a-beff-1cb81a9c09ff,,,Verbal Response,Reponse Verbe,Verbal Response,Reponse Verbe,,,Misc,Numeric,,,,,,,,,,,
32e67d1d-33c8-436c-8184-cb642641740f,,,Motor Response,Reponse Mouvement,Motor Response,Reponse Mouvement,,,Misc,Numeric,,,,,,,,,,,
f83ffc3a-2cca-4ffc-aab7-416330a18c95,,,Glasgow Scale,Échelle de Glasgow,Fetus Glasgow Scale,Échelle de Glasgow,,,ConvSet,N/A,,,Eye Opening Response;Verbal Response;Motor Response,,,,,,,,
5c6c4d43-5fb4-4d91-95a9-56c4948cf40a,,,Dyspneic,Dyspnéique,Dyspneic,Dyspnéique,,,Misc,N/A,,,,,,,,,,,
8db5ab60-24cb-4b93-8ee1-ac27415dee93,,,Respiratory distress,Détresse respiratoire,Respiratory distress,Détresse respiratoire,,,Misc,N/A,,,,,,,,,,,
348f1302-6ca8-45af-b23e-db9dc0980914,,,Breathing Assessment,Évaluation de la respiration,Breathing Assessment,Évaluation de la respiration,,,Question,Coded,,Normal;Dyspneic;Respiratory distress;Other,,,,,,,,,
9bbae48a-924a-40ae-9090-353b2a613422,,,Other Breathing Assessment Details,Autres détails Evaluation respiratoire,Other Breathing Assessment Details,Autres détails Evaluation respiratoire,,,Misc,Text,,,,,,,,,,,
a21aa582-bb23-4cd8-8fb7-410d88694908,,,Clinical Observation,Observation Clinique,Clinical Observation,Observation Clinique,,,Misc,Text,,,,,,,,,,,
76799fc6-ee55-49c2-93de-a070188b35fb,,,Examinations requested,Examens demandés,Examinations requested,Examens demandés,,,Misc,Text,,,,,,,,,,,
24155ce4-9361-4497-ab71-338a2467886c,,,Evolution,Evolution,Evolution,Evolution,,,Misc,Text,,,,,,,,,,,
faaa3af8-e678-42de-8f37-b50a784b73d5,,,Hospitalisation,Hospitalisation,Hospitalisation,Hospitalisation,,,Misc,N/A,,,,,,,,,,,
e8d5651f-42e6-4558-bad2-416d69d979cf,,,Transfer,Transfert,Transfer,Transfert,,,Misc,N/A,,,,,,,,,,,
438fa424-92f9-4e4b-bcff-fa0b46e51c8f,,,DSA,DSA,DSA,DSA,,,Misc,N/A,,,,,,,,,,,
2913bb79-8bf5-41e3-b11f-9e1633a0bce5,,,Death,Décès,Death,Décès,,,Misc,N/A,,,,,,,,,,,
e112e383-3d49-4b20-bda5-3507d0f01363,,,Release / Orientation Note,Note Sortie / Orientation,Release / Orientation Note,Note Sortie / Orientation,,,Misc,Text,,,,,,,,,,,
3358bc61-09fd-4b0e-9bc9-6a894302a297,,,Release / Orientation,Sortie / Orientation,Release / Orientation,Sortie / Orientation,,,Question,Coded,,Home;Hospitalisation;Transfer;DSA;Death,,,,,,,,,